Item,Frequency
1,0.14778534745578706
2,0.14485900151034034
3,0.13642306999286563
4,0.12344069841288356
5,0.1073141877486206
6,0.08963634428821929
7,0.07193485127193262
8,0.05546548114776734
9,0.041089839053144346
10,0.029246528005120242
11,0.020000571856150163
12,0.013141312132565985
13,0.008295895429790656
14,0.005031714927937944
15,0.002932223080699955
16,0.0016417469132892749
17,0.0008831686199421909
18,0.00045646687979831454
19,0.0002266747441753626
20,0.0001081496747432361
21,4.957646102300412E-05
22,2.1835042752913884E-05
23,9.2397621588201E-06
24,3.7566069569955627E-06
25,1.4674352439039357E-06
26,5.507447338828574E-07
27,1.9859576436512666E-07
28,6.880465647123706E-08
29,2.290308056305485E-08
30,7.3248408222561885E-09
31,2.2507678483169553E-09
32,6.644945675658173E-10
33,1.884865596772675E-10
34,5.1368580071658457E-11
35,1.3450640192885422E-11
36,3.3838925974535103E-12
37,8.179342724786328E-13
38,1.8995400841423303E-13
39,4.238446831830415E-14
40,9.086429001474903E-15
41,1.871578105910491E-15
42,3.7038287239306275E-16
43,7.042422160388831E-17
44,1.2865344981269102E-17
45,2.258130505188202E-18
46,3.8080694468563833E-19
47,6.170053117352777E-20
48,9.605083982885552E-21
49,1.436619148837652E-21
50,2.0644784601424982E-22
51,2.8504096643664406E-23
52,3.781224196954054E-24
53,4.819320349641451E-25
54,5.901567566240075E-26
55,6.943480055883941E-27
56,7.849016134885629E-28
57,8.524746475626514E-29
58,8.895614271430905E-30
59,8.918640010577362E-31
60,8.591115284468937E-32
61,7.951126810355408E-33
62,7.07027056601503E-34
63,6.040482191331752E-35
64,4.9583297236315904E-36
65,3.910456142779079E-37
66,2.9631091949410745E-38
67,2.1572283226201024E-39
68,1.5089428506448021E-40
69,1.0140927797256474E-41
70,6.548032256874103E-43
71,4.0623014747526947E-44
72,2.4213730897055064E-45
73,1.3866903498759673E-46
74,7.630016827132233E-48
75,4.033663998522165E-49
76,2.0488122534376065E-50
77,9.998453416277686E-52
78,4.688044364536731E-53
79,2.1119265940799748E-54
80,9.141009195534939E-56
81,3.8013485586499137E-57
82,1.5188310312991021E-58
83,5.830549015091954E-60
84,2.15049115364763E-61
85,7.620686409248487E-63
86,2.594649755654654E-64
87,8.48773113213976E-66
88,2.6676736955904877E-67
89,8.055676543137476E-69
90,2.337219784144319E-70
91,6.515163345900164E-72
92,1.744935121899424E-73
93,4.4901565230949525E-75
94,1.110125036547001E-76
95,2.6370024606780956E-78
96,6.018349344726869E-80
97,1.3196916614328156E-81
98,2.780326329362872E-83
99,5.62791193493981E-85
100,1.0945283987883019E-86
